CO,NO2,O3,SO2,PM2.5,PM10,city,overall_aqi
220.3,3.9,9.74,0.42,4.62,5.53,Bayonne,15
320.44,6.86,47.21,1.37,17.32,18.28,Fayetteville,53
340.46,17.65,7.15,0.41,3.32,3.98,Hillsboro,22
260.35,1.54,65.8,0.04,3.47,4.33,Round Rock,71
433.92,30.5,16.45,0.54,13.17,14.14,Cheektowaga,42
250.34,2.87,67.23,0.78,1.33,1.52,Jackson,75
1068.12,64.43,0.0,3.7,38.39,63.35,Bellflower,95
410.56,21.08,20.92,2.89,15.57,17.39,Milwaukee,50
303.75,4.76,59.37,0.16,10.56,11.85,Lincoln,51
440.6,32.9,9.92,1.94,8.18,9.2,Lancaster,41
640.87,56.21,0.03,2.0,20.06,36.41,Yorba Linda,70
1255.04,124.75,0.0,7.51,47.22,77.19,Lynwood,125
741.01,48.67,0.0,2.62,48.88,59.69,Mountain View,116
226.97,4.54,53.64,0.3,3.2,6.72,Deltona,45
283.72,8.82,38.62,0.13,5.33,15.46,Avondale,32
260.35,14.05,46.49,0.24,4.92,16.89,Chino,39
460.63,50.04,14.48,1.7,26.4,29.34,Layton,72
433.92,40.44,20.92,0.83,10.53,15.05,Thornton,50
360.49,32.22,13.95,2.09,7.45,15.6,Fort Lauderdale,40
423.91,36.33,11.98,0.84,8.5,8.56,Fishers,45
447.27,27.42,26.46,7.39,16.95,20.17,Westminster,53
223.64,1.44,51.5,0.1,3.2,3.49,Rock Hill,43
383.85,17.82,12.16,0.04,3.83,4.96,Concord,22
1255.04,124.75,0.0,7.51,47.22,77.19,South Gate,125
494.0,27.76,0.12,0.46,16.27,20.25,Stockton,51
1081.47,108.3,0.0,3.4,36.72,56.57,Santa Ana,116
667.57,43.87,0.02,2.24,25.02,29.94,Eagan,69
263.69,9.17,77.96,0.87,6.71,26.03,Santa Monica,107
280.38,2.42,63.66,0.54,3.46,3.72,Mount Pleasant,64
283.72,8.82,38.62,0.13,5.33,15.46,Goodyear,32
226.97,1.89,47.92,0.13,1.86,1.97,Gastonia,40
260.35,1.56,74.39,0.62,1.25,1.39,Tyler,98
527.38,48.67,1.12,1.34,11.97,20.0,San Diego,60
300.41,21.08,13.95,0.29,5.62,7.18,Reno,26
226.97,1.23,101.57,3.16,3.14,6.2,Alexandria,166
413.9,23.99,20.56,2.59,12.74,14.95,Elgin,41
247.0,4.2,36.84,1.34,1.2,1.51,Sandy Springs,31
660.9,53.47,0.0,0.72,20.04,27.24,Brockton,66
233.65,5.18,57.94,0.83,4.15,7.21,Town 'n' Country,49
507.36,58.26,6.17,1.19,11.19,19.07,Moreno Valley,72
423.91,36.33,11.98,0.84,8.5,8.56,Carmel,45
213.62,3.17,45.78,0.09,2.85,4.38,Port Saint Lucie,38
273.71,2.36,67.23,0.3,2.36,2.67,Flower Mound,75
440.6,29.82,11.44,2.41,9.88,10.44,Ellicott City,37
287.06,5.06,64.37,0.57,2.85,3.34,Irving,66
280.38,3.04,64.37,0.81,2.87,3.34,Plano,66
453.95,23.31,10.01,0.04,6.54,6.78,Scranton,29
270.37,2.72,42.92,0.09,1.93,3.09,Laredo,36
453.95,22.96,1.61,1.27,5.58,6.18,Victoria,28
327.11,9.68,26.11,0.37,12.01,14.65,Merced,38
387.19,22.28,20.56,0.98,4.67,4.74,Columbus,27
310.42,6.86,46.49,0.73,4.63,6.15,Pharr,39
260.35,3.04,50.07,0.45,1.85,2.07,Metairie,42
216.96,2.12,52.21,0.27,3.77,6.25,Palm Coast,44
587.46,39.41,0.0,0.4,12.73,16.34,Lowell,49
383.85,12.85,27.9,0.95,11.25,12.65,Waukesha,36
283.72,7.97,57.94,1.94,2.68,3.43,Farmington Hills,49
560.76,27.08,0.0,0.72,11.1,13.25,Portland,36
767.71,50.04,0.0,2.47,33.89,52.52,Union City,86
1028.06,69.92,0.0,8.7,41.89,55.08,Elizabeth,102
307.08,8.91,60.8,0.75,3.24,4.27,Grand Prairie,55
1255.04,124.75,0.0,7.51,47.22,77.19,Hawthorne,125
327.11,16.97,43.27,0.25,5.0,11.81,Temecula,36
205.28,0.67,57.22,0.02,1.96,2.57,Palm Bay,48
297.07,7.45,60.8,1.15,3.34,3.96,Richardson,55
767.71,49.35,0.0,2.38,23.65,42.19,Yonkers,66
293.73,4.37,53.64,0.45,1.86,2.08,Shreveport,45
393.87,17.31,5.19,0.42,13.06,13.89,Bay,42
377.18,12.17,14.48,0.12,6.04,6.6,Green Bay,19
220.3,4.24,54.36,0.29,3.06,5.59,Lakeland,46
337.12,24.33,24.68,1.83,7.58,16.97,Plantation,30
767.71,50.04,0.0,2.47,33.89,52.52,Palo Alto,86
423.91,24.33,0.85,0.44,18.08,21.98,Fresno,55
377.18,19.19,25.75,0.06,4.81,7.84,Boise,23
280.38,4.5,62.94,1.58,2.85,3.44,Atascocita,62
440.6,24.68,11.0,1.28,6.96,7.27,Centreville,30
213.62,1.63,52.21,0.45,1.74,1.89,Youngs,44
947.95,52.09,0.0,3.34,34.35,51.93,Paterson,87
310.42,5.66,45.06,0.14,10.49,11.86,Wichita,38
267.03,7.63,1.81,0.05,2.26,2.45,Redding,9
377.18,9.94,34.33,1.19,13.82,14.24,Saint Louis,44
